id,project_id,keyword
386,125,ddc:362
387,125,Trans
388,125,Geschlecht
389,125,Gender
390,125,wohnungslos
391,125,obdachlos
392,125,Notübernachtungsstelle
393,125,Notschlafstelle
394,125,Wohnungslosenhilfe
395,126,ddc:090
396,126,BK:18.74
397,126,BK:17.97
398,127,ddc:610
399,128,ddc:000
400,129,ddc:610
401,130,ddc:610
402,130,Dermato-epidemiology
403,130,Frequency
404,130,Hand eczema
405,130,Skin condition
406,131,ddc:300
407,132,ddc:610
408,132,ddc:618
409,133,ddc:690
410,133,ddc:300
411,133,ddc:305
412,133,Walz
413,133,handwerkliche Wanderschaft
414,133,Tradition
415,133,Wandergesell:innen
416,133,Internetplattform
417,134,ddc:550
418,134,ddc:556
419,135,ddc:610
420,136,ddc:100
421,136,ddc:170
422,137,ddc:370
423,137,ddc:371
424,137,"Forschungsdokumentation, Autismus-Spektrum, Inklusive Bildung, Schleswig-Holstein"
425,138,ddc:610
426,139,ddc:000
427,140,ddc:610
428,141,ddc:610
429,141,Quality-of-life instruments
430,141,Cutaneous T-cell lymphoma
431,141,Non-Hodgkin lymphoma
432,142,ddc:150
433,142,ddc:300
434,142,ddc:302
435,142,Schwangerschaftsabruch
436,142,Abtreibung
437,142,Schwangerschaftskonfliktberatung
438,142,Beratung nach §219 StGB
439,143,ddc:610
440,144,ddc:610
441,144,ddc:617
442,145,ddc:610
443,146,ddc:610
444,147,ddc:610
445,148,ddc:610
446,148,Elektronische Publikation
447,148,Hochschulschrift
448,148,Online-Publikation
449,148,Zsfassung in engl. Sprache
450,149,ddc:150
451,150,ddc:090
452,150,BK:18.74
453,150,BK:17.97
454,151,ddc:150
455,151,ddc:155
456,151,Intensivtherapie
457,151,Psychische Belastung
458,151,Familienangehöriger
459,152,ddc:610
460,153,ddc:610
461,154,ddc:610
462,155,ddc:330
463,156,ddc:000
464,157,ddc:000
465,158,ddc:910
466,159,ddc:610
467,160,ddc:370
468,160,ddc:371
469,161,ddc:300
470,161,ddc:304
471,161,Entwicklung
472,161,Digitales Zeitalter
473,161,Kinder
474,161,Jugendliche
475,161,Soziale Medien
476,162,ddc:370
477,162,ddc:300
478,162,ddc:304
479,162,emanzipatorische Sexualpädagogik
480,162,neue Medien
481,162,sexuelle Aufklärung
482,162,Medienkompetenzförderung
483,163,ddc:610
484,164,ddc:430
485,164,ddc:437
486,164,Online-Publikation
487,164,Hochschulschrift
488,165,ddc:370
489,165,ddc:375
490,165,Computereinsatz in Unterricht und Ausbildung
491,165,Medienerziehung
492,165,Künstliche Intelligenz
493,165,Methoden und Techniken der Pädagogik
494,166,ddc:000
495,167,ddc:650
496,167,ddc:658
497,167,ddc:004
498,167,ddc:006
499,167,Webdesign
500,167,Vertrauensaufbau im B2B ECommerce
501,167,Leadgenerierung
502,168,ddc:610
503,169,ddc:300
504,169,Pornografiesucht
505,169,Erklärungsmodelle zur Interpretation des Pornografiekonsums
506,169,PPMI-Modell
507,170,ddc:360
508,170,ddc:361
509,170,Online-Publikation
510,170,Hochschulschrift
511,171,ddc:792
512,172,ddc:000
513,173,ddc:610
514,173,Sexocorporel
515,173,Sexualität als Lernprozess
516,174,ddc:610
517,175,ddc:340
518,175,ddc:344
519,175,Inobhutnahme von Kindern und Jugendlichen
520,175,langer Verweildauern
521,175,Kindeswohlgefährdung
522,175,Bindungsabbrüche
523,175,bedarfsgerechten Anschlusshilfen
524,176,ddc:300
525,176,ddc:302
526,176,Skateboardfahren
527,176,Skate-Projekte für Mädchen
528,176,feministische Mädchenarbeit
529,176,FLINTA*-Skate-Projekte
530,177,ddc:090
531,177,Unruhen
532,177,Usbekistan
533,177,DE-615
534,177,ssg:ssg3.2.8.2.3
535,178,ddc:610
536,179,ddc:630
537,179,ddc:330
538,179,Deutschland
539,179,Landwirtschaft
540,179,Weibliche Führungskraft
541,179,Unternehmensleitung
542,179,Online-Publikation
543,179,Hochschulschrift
544,180,ddc:370
545,181,ddc:610
546,182,ddc:610
547,183,ddc:370
548,183,ddc:372
549,184,ddc:150
550,184,BOLSA
551,184,Psychologische Tests
552,184,Längsschnittstudie
553,184,Generationenforschung
554,184,Methoden
555,184,Psychological tests
556,184,Longitudinal study
557,184,Generational Research
558,184,Methods
559,185,ddc:300
560,185,ddc:304
561,185,Cannabis
562,185,junge Erwachsene
563,185,Integrationsstrategie
564,185,Risiko
565,186,ddc:610
566,187,ddc:000
567,188,ddc:300
568,188,ddc:305
569,188,Mediale Geschlechterbilder
570,188,Symbolische Gewalt
571,188,Performativität
572,188,Antifeminismus
573,188,Care Arbeit
574,188,Gender Pay Gap
575,188,Demokratie
576,189,ddc:370
577,190,ddc:610
578,191,ddc:100
579,191,ddc:175
580,191,ddc:300
581,191,ddc:305
582,191,Awarenessarbeit
583,191,Mindeststandards
584,192,ddc:150
585,193,ddc:610
586,194,ddc:943
587,194,Zeitgeschichte
588,194,2. Weltkrieg
589,194,Nationalsozialismus
590,194,Nachkriegszeit
591,194,Erinnerungen
592,194,Zeitzeugenbericht
593,194,2nd world war
594,194,National Socialism
595,194,Post-war period
596,194,Reminders
597,194,Report of contemporary witnesses
598,194,ger
599,195,ddc:000
600,196,ddc:610
601,196,ddc:370
602,196,Wechseljahre
603,196,sexuelle Bildung für Erwachsene
604,197,ddc:370
605,197,Digitale Medien
606,197,Medienpädagogik
607,197,Schule
608,197,Distanzlernen
609,198,ddc:610
610,199,ddc:610
611,199,ddc:618
612,200,ddc:330
613,201,ddc:610
614,201,ddc:616
616,201,Online-Publikation
617,201,Hochschulschrift
618,201,Intensivstation – Träume – Traumqualität – Erinnerungen an ITS
619,201,intensive care unit – dreams – quality of dreams – memories of intensive care unit.
620,202,ddc:300
621,202,ddc:302
622,202,queere Sozialarbeit
623,202,Nähe-Distanz-Gleichgewicht
624,202,querre Jugendarbeit
625,203,ddc:610
626,203,ddc:300
627,203,Verhütungsmethode
628,203,thermische Hodenerwärmung
629,203,Verhütungsverantwortung durch Männer
630,204,ddc:370
631,204,ddc:373
632,205,ddc:000
633,206,ddc:610
634,207,ddc:300
635,207,ddc:304
636,207,privates Liebesleben
637,207,Sexarbeiter*innen
638,207,Entwicklungspotenziale der Sexarbeitserfahrung
639,208,ddc:943
640,208,Zeitgeschichte
641,208,Interviews
642,208,Universitätsgeschichte
643,208,Studium
644,208,Studienbedingungen
645,208,Tagebuch
646,208,Mauerbau
647,208,DDR-Geschichte
648,208,Physik
649,208,contemporary history
650,208,University History
651,208,Study
652,208,Study conditions
653,208,Diary
654,208,Wall construction
655,208,History of the GDR
656,208,Physics
657,209,ddc:610
658,209,Online-Publikation
659,209,Hochschulschrift
660,210,ddc:610
661,210,ddc:616
662,211,ddc:610
663,211,ddc:618
664,212,ddc:300
665,212,ddc:305
